paper_id,transE_score,year,num_triples
NOVEL_MT_9,13.512909889221191,2020,53
NOVEL_MT_95,13.909442901611328,2020,181
NOVEL_MT_163,13.392354011535645,2020,194
NOVEL_QA_38,13.612431526184082,2020,84
NOVEL_DIA_0,13.778291702270508,2021,99
NOVEL_DIA_1,13.90301513671875,2021,132
NOVEL_DIA_2,12.533339500427246,2021,94
NOVEL_DIA_3,13.547601699829102,2021,206
NOVEL_DIA_4,14.039164543151855,2021,206
NOVEL_DIA_5,14.003058433532715,2021,103
NOVEL_DIA_6,13.697637557983398,2021,166
NOVEL_DIA_8,12.635663986206055,2021,163
NOVEL_DIA_10,13.896594047546387,2021,134
NOVEL_DIA_11,12.509113311767578,2021,67
NOVEL_DIA_12,13.701116561889648,2021,132
NOVEL_DIA_13,13.894696235656738,2021,58
NOVEL_DIA_14,13.924983024597168,2021,72
NOVEL_DIA_16,12.746166229248047,2021,74
NOVEL_DIA_17,13.834066390991211,2021,149
NOVEL_DIA_18,13.628293991088867,2021,158
NOVEL_DIA_20,14.092538833618164,2021,79
NOVEL_DIA_21,13.825600624084473,2021,47
NOVEL_DIA_22,14.017294883728027,2021,35
NOVEL_DIA_23,13.529027938842773,2021,108
NOVEL_DIA_24,14.007198333740234,2021,54
NOVEL_DIA_25,13.844804763793945,2021,125
NOVEL_DIA_26,13.528141975402832,2021,40
NOVEL_DIA_28,14.036043167114258,2021,196
NOVEL_DIA_29,13.735045433044434,2021,60
NOVEL_DIA_30,13.7711763381958,2021,84
NOVEL_DIA_31,13.760815620422363,2021,194
NOVEL_DIA_33,12.936779022216797,2021,37
NOVEL_DIA_34,13.858322143554688,2021,172
NOVEL_DIA_35,12.765458106994629,2021,25
NOVEL_DIA_37,13.685765266418457,2021,211
NOVEL_DIA_39,13.967680931091309,2021,100
NOVEL_DIA_40,13.267598152160645,2021,29
NOVEL_DIA_41,12.618788719177246,2021,152
NOVEL_DIA_42,13.553510665893555,2021,156
NOVEL_DIA_43,13.553208351135254,2021,25
NOVEL_DIA_44,13.890809059143066,2021,158
NOVEL_DIA_45,13.869114875793457,2021,207
NOVEL_DIA_47,13.37817096710205,2021,124
NOVEL_DIA_49,13.653326034545898,2021,16
NOVEL_DIA_50,13.829485893249512,2021,206
NOVEL_DIA_51,12.725929260253906,2021,122
NOVEL_DIA_52,13.697830200195312,2021,48
NOVEL_DIA_53,13.710737228393555,2021,134
NOVEL_DIA_54,13.877625465393066,2021,183
NOVEL_DIA_55,13.86485767364502,2021,93
NOVEL_DIA_56,14.050867080688477,2021,25
NOVEL_DIA_59,12.798593521118164,2021,160
NOVEL_DIA_63,13.697307586669922,2021,118
NOVEL_DIA_65,13.707999229431152,2021,171
NOVEL_DIA_66,12.58487606048584,2021,196
NOVEL_DIA_67,13.733420372009277,2021,131
NOVEL_DIA_68,13.436388969421387,2021,154
NOVEL_DIA_69,13.848971366882324,2021,89
NOVEL_DIA_70,14.06649112701416,2021,99
NOVEL_DIA_71,13.257835388183594,2021,130
NOVEL_MT_0,13.969072341918945,2021,73
NOVEL_MT_2,13.903017044067383,2021,132
NOVEL_MT_4,13.834905624389648,2021,30
NOVEL_MT_5,13.784996032714844,2021,136
NOVEL_MT_10,13.303396224975586,2021,120
NOVEL_MT_11,12.614368438720703,2021,164
NOVEL_MT_15,12.61866569519043,2021,66
NOVEL_MT_16,13.713095664978027,2021,99
NOVEL_MT_17,13.83922004699707,2021,246
NOVEL_MT_19,13.6602201461792,2021,138
NOVEL_MT_21,13.604355812072754,2021,25
NOVEL_MT_23,13.8147611618042,2021,222
NOVEL_MT_24,12.526480674743652,2021,85
NOVEL_MT_25,13.719243049621582,2021,141
NOVEL_MT_26,13.619197845458984,2021,135
NOVEL_MT_29,13.797799110412598,2021,95
NOVEL_MT_31,13.769720077514648,2021,269
NOVEL_MT_35,13.924601554870605,2021,48
NOVEL_MT_37,12.790899276733398,2021,158
NOVEL_MT_39,13.422812461853027,2021,142
NOVEL_MT_40,12.634966850280762,2021,80
NOVEL_MT_42,13.995988845825195,2021,128
NOVEL_MT_45,13.835540771484375,2021,40
NOVEL_MT_47,12.640934944152832,2021,97
NOVEL_MT_49,13.883320808410645,2021,134
NOVEL_MT_52,13.62497615814209,2021,126
NOVEL_MT_53,12.956677436828613,2021,149
NOVEL_MT_54,12.78108024597168,2021,184
