paper_id,title,domain,year,disruption_index,final_novelty_score
NOVEL_SA_W4295795036,Associations of physician burnout with career engagement and quality of patient care: systematic review and meta-analysis,SA,2022,0.6575468167316125,0.6575468167316125
NOVEL_DIA_W1511604355,Researching Society and Culture,DIA,2025,0.6045460381004317,0.6045460381004317
NOVEL_MT_W4283721142,microbiomeMarker: an R/Bioconductor package for microbiome marker identification and visualization,MT,2022,0.585868756413889,0.585868756413889
NOVEL_SA_W4380520708,Konsumentenverhalten,SA,2022,0.56536198607322,0.56536198607322
NOVEL_DIA_W4319439342,La percepción de la Inteligencia Artificial en contextos educativos tras el lanzamiento de ChatGPT: disrupción o pánico,DIA,2023,0.5443128820408024,0.5443128820408024
NOVEL_DIA_W4205178534,Lithium-Ion Battery Recycling─Overview of Techniques and Trends,DIA,2022,0.5043577085495897,0.5043577085495897
NOVEL_MT_W4224050897,"Physiological roles of hydrogen sulfide in mammalian cells, tissues, and organs",MT,2022,0.4895489480610719,0.4895489480610719
NOVEL_MT_W4205713819,Clinical Pharmacogenetics Implementation Consortium Guideline for <i>CYP2C19</i> Genotype and Clopidogrel Therapy: 2022 Update,MT,2022,0.4891760838145278,0.4891760838145278
NOVEL_MT_W4289261621,Definition and Nomenclature of Chronic Obstructive Pulmonary Disease: Time for Its Revision,MT,2022,0.4876492200241661,0.4876492200241661
NOVEL_MT_W4210521984,ICE-CBF-COR Signaling Cascade and Its Regulation in Plants Responding to Cold Stress,MT,2022,0.483456667244276,0.483456667244276
NOVEL_MT_W4376871556,"PHASTEST: faster than PHASTER, better than PHAST",MT,2023,0.4816011508782049,0.4816011508782049
NOVEL_SA_W4295048810,AASLD practice guidance on primary sclerosing cholangitis and cholangiocarcinoma,SA,2022,0.4815481482096238,0.4815481482096238
NOVEL_MT_W4210920041,Engineering Macrophage Exosome Disguised Biodegradable Nanoplatform for Enhanced Sonodynamic Therapy of Glioblastoma,MT,2022,0.4730976479626304,0.4730976479626304
NOVEL_MT_W4385799520,Recommendations From the 2023 International Evidence-based Guideline for the Assessment and Management of Polycystic Ovary Syndrome,MT,2023,0.465497799127066,0.465497799127066
NOVEL_MT_W4281901970,"Three-Year Follow-Up of KTE-X19 in Patients With Relapsed/Refractory Mantle Cell Lymphoma, Including High-Risk Subgroups, in the ZUMA-2 Study",MT,2022,0.4623791902949343,0.4623791902949343
NOVEL_SA_W4220825176,2022 Alzheimer's disease facts and figures,SA,2022,0.4585286049284245,0.4585286049284245
NOVEL_MT_W4308165701,Phosphorylated Tau in Alzheimer’s Disease and Other Tauopathies,MT,2022,0.4584708910823308,0.4584708910823308
NOVEL_MT_W4214917757,Social Determinants of Cardiovascular Disease,MT,2022,0.4565593607773633,0.4565593607773633
NOVEL_SA_W4297256710,"The Impact of Climate Change on Mental Health and Emotional Wellbeing: A Narrative Review of Current Evidence, and its Implications",SA,2022,0.4518665056139374,0.4518665056139374
NOVEL_SA_W4290932423,"Self-Compassion: Theory, Method, Research, and Intervention",SA,2022,0.4470868368323712,0.4470868368323712
