paper_id,year,split,domain,tgnn_novelty,tgnn_norm
SKG_MT_1151,2010,SKG,MT,8.966763e-06,0.05852440400999365
SKG_SUM_67,2010,SKG,SUM,7.743706e-06,0.02942240307631741
SKG_MT_287,2010,SKG,MT,9.814161e-06,0.07868779573024492
SKG_SUM_83,2010,SKG,SUM,7.5418516e-06,0.024619383317412785
SKG_SUM_42,2010,SKG,SUM,8.101335e-06,0.03793199788008347
SKG_MT_1074,2010,SKG,MT,7.516706e-06,0.02402105693141615
SKG_PAR_202,2010,SKG,PAR,8.837375e-06,0.055445684296352715
SKG_MT_390,2010,SKG,MT,8.0487e-06,0.03667957561428223
SKG_MT_488,2010,SKG,MT,8.101335e-06,0.03793199788008347
SKG_MT_157,2010,SKG,MT,8.074316e-06,0.037289094921981764
SKG_SUM_7,2010,SKG,SUM,8.0487e-06,0.03667957561428223
SKG_MT_194,2010,SKG,MT,7.8470775e-06,0.0318820737944569
SKG_MT_478,2010,SKG,MT,8.192532e-06,0.04010198274517848
SKG_MT_1199,2010,SKG,MT,8.966763e-06,0.05852440400999365
SKG_MT_196,2010,SKG,MT,7.500658e-06,0.023639203174000423
SKG_PAR_219,2010,SKG,PAR,7.86385e-06,0.03228116665003114
SKG_MT_174,2010,SKG,MT,7.957806e-06,0.03451680047553926
SKG_QA_101,2010,SKG,QA,6.8548206e-06,0.008271840395484759
SKG_MT_1231,2010,SKG,MT,8.837375e-06,0.055445684296352715
SKG_MT_15,2010,SKG,MT,8.505408e-06,0.047546703346201036
SKG_MT_17,2010,SKG,MT,7.693379e-06,0.02822489846206877
SKG_MT_1232,2010,SKG,MT,8.227052e-06,0.040923368070826
SKG_MT_603,2010,SKG,MT,8.192532e-06,0.04010198274517848
SKG_MT_567,2010,SKG,MT,8.192532e-06,0.04010198274517848
SKG_MT_61,2010,SKG,MT,8.264113e-06,0.041805215161029446
SKG_SA_544,2010,SKG,SA,7.1368822e-06,0.014983348482641934
SKG_MT_968,2010,SKG,MT,8.570905e-06,0.04910517016757812
SKG_MT_547,2010,SKG,MT,7.37715e-06,0.020700394981645942
SKG_PAR_87,2010,SKG,PAR,8.4472385e-06,0.046162590550712784
SKG_DIA_104,2010,SKG,DIA,7.86385e-06,0.03228116665003114
SKG_PAR_69,2010,SKG,PAR,7.401843e-06,0.021287951987619708
SKG_MT_137,2010,SKG,MT,7.315498e-06,0.019233417922062457
SKG_MT_606,2010,SKG,MT,8.304096e-06,0.04275658971130075
SKG_SA_527,2010,SKG,SA,7.693379e-06,0.02822489846206877
SKG_MT_585,2010,SKG,MT,8.645792e-06,0.050887067122438095
SKG_MT_646,2010,SKG,MT,8.129933e-06,0.03861247231643539
SKG_QA_416,2010,SKG,QA,9.136364e-06,0.06255997100347996
SKG_MT_660,2010,SKG,MT,8.0487e-06,0.03667957561428223
SKG_MT_388,2010,SKG,MT,7.815188e-06,0.031123279839003898
SKG_MT_1313,2010,SKG,MT,8.570905e-06,0.04910517016757812
SKG_SA_83,2010,SKG,SA,8.505408e-06,0.047546703346201036
SKG_MT_795,2010,SKG,MT,7.771012e-06,0.030072135049148574
SKG_MT_1384,2010,SKG,MT,7.8470775e-06,0.0318820737944569
SKG_MT_1167,2010,SKG,MT,8.570905e-06,0.04910517016757812
SKG_MT_853,2010,SKG,MT,8.733035e-06,0.052962968627810914
SKG_MT_838,2010,SKG,MT,7.3260962e-06,0.019485596541943012
SKG_MT_850,2010,SKG,MT,7.4851655e-06,0.023270567248229984
SKG_MT_1325,2010,SKG,MT,7.785284e-06,0.03041172981646148
SKG_SA_217,2010,SKG,SA,7.5418516e-06,0.024619383317412785
SKG_MT_1320,2010,SKG,MT,9.136364e-06,0.06255997100347996
SKG_SA_420,2010,SKG,SA,7.470176e-06,0.022913899944093458
SKG_MT_1375,2010,SKG,MT,8.570905e-06,0.04910517016757812
SKG_MT_1394,2010,SKG,MT,9.136364e-06,0.06255997100347996
SKG_MT_1193,2010,SKG,MT,8.837375e-06,0.055445684296352715
SKG_MT_715,2010,SKG,MT,6.7730084e-06,0.006325161932595358
SKG_DIA_209,2010,SKG,DIA,7.670091e-06,0.027670772695449986
SKG_DIA_210,2010,SKG,DIA,7.881246e-06,0.03269509536164655
SKG_MT_743,2010,SKG,MT,8.733035e-06,0.052962968627810914
SKG_MT_771,2010,SKG,MT,7.815188e-06,0.031123279839003898
SKG_MT_620,2011,SKG,MT,9.905275e-06,0.08085580565379794
SKG_MT_964,2011,SKG,MT,1.1900835e-05,0.12833911099705414
SKG_MT_966,2011,SKG,MT,1.0390854e-05,0.09240990371412836
SKG_MT_1227,2011,SKG,MT,1.0312776e-05,0.09055207858504644
SKG_MT_1220,2011,SKG,MT,1.1822927e-05,0.1264853309289618
SKG_MT_1399,2011,SKG,MT,9.651196e-06,0.07481012888221042
SKG_QA_392,2011,SKG,QA,1.0977949e-05,0.10637952184162092
SKG_MT_595,2011,SKG,MT,1.1671512e-05,0.12288249028345416
SKG_QA_302,2011,SKG,QA,8.683911e-06,0.05179408876868258
SKG_MT_962,2011,SKG,MT,9.969879e-06,0.08239302400774154
SKG_QA_240,2011,SKG,QA,1.1532215e-05,0.11956799110307398
SKG_PAR_14,2011,SKG,PAR,9.477958e-06,0.0706880213780236
SKG_MT_496,2011,SKG,MT,1.06158905e-05,0.09776452940460006
SKG_MT_565,2011,SKG,MT,1.1574678e-05,0.12057837595484022
SKG_PAR_34,2011,SKG,PAR,1.2761598e-05,0.14882051589451512
SKG_MT_58,2011,SKG,MT,1.0702284e-05,0.09982021750226316
SKG_MT_557,2011,SKG,MT,1.0294823e-05,0.09012489635007104
SKG_MT_87,2011,SKG,MT,1.0298132e-05,0.09020363227250927
SKG_SA_567,2011,SKG,SA,1.0156815e-05,0.08684106824978235
SKG_PAR_94,2011,SKG,PAR,1.0228044e-05,0.08853592500993729
SKG_MT_409,2011,SKG,MT,1.0971754e-05,0.10623211506026553
SKG_MT_144,2011,SKG,MT,1.22368365e-05,0.13633409076227898
SKG_MT_117,2011,SKG,MT,1.2071631e-05,0.13240311238984953
SKG_MT_1024,2011,SKG,MT,1.1249229e-05,0.11283448740192403
SKG_SA_505,2011,SKG,SA,9.049258e-06,0.06048732934137527
SKG_MT_1306,2011,SKG,MT,1.0035863e-05,0.08396307873912995
SKG_SA_192,2011,SKG,SA,9.761199e-06,0.07742759267065785
SKG_SA_181,2011,SKG,SA,1.173287e-05,0.12434247176697338
SKG_DIA_253,2011,SKG,DIA,1.2280302e-05,0.13736832957664558
SKG_MT_789,2011,SKG,MT,1.2765507e-05,0.14891352850279893
SKG_MT_1330,2011,SKG,MT,1.0971335e-05,0.10622214517465006
SKG_DIA_288,2011,SKG,DIA,1.0753253e-05,0.1010329981703666
SKG_MT_881,2011,SKG,MT,1.0231839e-05,0.0886262250479104
SKG_SA_343,2011,SKG,SA,9.3550125e-06,0.06776259757864933
SKG_SA_351,2011,SKG,SA,9.71269e-06,0.07627334641452124
