paper_id,transE_score,year
NOVEL_MT_9,0.6209589838981628,2020
NOVEL_MT_95,0.6119159758090973,2020
NOVEL_MT_163,0.6167339980602264,2020
NOVEL_QA_38,0.6032999455928802,2020
NOVEL_DIA_0,0.5761486887931824,2021
NOVEL_DIA_1,0.6000640094280243,2021
NOVEL_DIA_2,0.6235790252685547,2021
NOVEL_DIA_3,0.604290783405304,2021
NOVEL_DIA_4,0.5841541886329651,2021
NOVEL_DIA_5,0.572869747877121,2021
NOVEL_DIA_6,0.5851367712020874,2021
NOVEL_DIA_8,0.5875193476676941,2021
NOVEL_DIA_10,0.6181740760803223,2021
NOVEL_DIA_11,0.5735262632369995,2021
NOVEL_DIA_12,0.615411251783371,2021
NOVEL_DIA_13,0.6049189269542694,2021
NOVEL_DIA_14,0.6057866513729095,2021
NOVEL_DIA_16,0.5937007367610931,2021
NOVEL_DIA_17,0.5977371633052826,2021
NOVEL_DIA_18,0.6229481995105743,2021
NOVEL_DIA_20,0.5978883802890778,2021
NOVEL_DIA_21,0.6033425331115723,2021
NOVEL_DIA_22,0.6194674372673035,2021
NOVEL_DIA_23,0.5840971171855927,2021
NOVEL_DIA_24,0.5979773998260498,2021
NOVEL_DIA_25,0.6061244606971741,2021
NOVEL_DIA_26,0.6114321649074554,2021
NOVEL_DIA_28,0.5589256286621094,2021
NOVEL_DIA_29,0.5737752020359039,2021
NOVEL_DIA_30,0.5850376784801483,2021
NOVEL_DIA_31,0.5971704125404358,2021
NOVEL_DIA_33,0.5660060048103333,2021
NOVEL_DIA_34,0.6082557737827301,2021
NOVEL_DIA_35,0.5769995152950287,2021
NOVEL_DIA_37,0.5667817890644073,2021
NOVEL_DIA_39,0.6039007604122162,2021
NOVEL_DIA_40,0.6378228664398193,2021
NOVEL_DIA_41,0.583402693271637,2021
NOVEL_DIA_42,0.6092181503772736,2021
NOVEL_DIA_43,0.5625639855861664,2021
NOVEL_DIA_44,0.6143538355827332,2021
NOVEL_DIA_45,0.5775853097438812,2021
NOVEL_DIA_47,0.5998972058296204,2021
NOVEL_DIA_49,0.5225966274738312,2021
NOVEL_DIA_50,0.60941481590271,2021
NOVEL_DIA_51,0.5677546858787537,2021
NOVEL_DIA_52,0.5705751478672028,2021
NOVEL_DIA_53,0.5956017673015594,2021
NOVEL_DIA_54,0.5988897085189819,2021
NOVEL_DIA_55,0.5864488780498505,2021
NOVEL_DIA_56,0.6015822887420654,2021
NOVEL_DIA_59,0.6073338687419891,2021
NOVEL_DIA_63,0.6093593537807465,2021
NOVEL_DIA_65,0.6017656028270721,2021
NOVEL_DIA_66,0.6135532855987549,2021
NOVEL_DIA_67,0.5766885280609131,2021
NOVEL_DIA_68,0.5930899381637573,2021
NOVEL_DIA_69,0.5821000933647156,2021
NOVEL_DIA_70,0.5766590535640717,2021
NOVEL_DIA_71,0.5988255441188812,2021
NOVEL_MT_0,0.5979511439800262,2021
NOVEL_MT_2,0.6045883893966675,2021
NOVEL_MT_4,0.5974077880382538,2021
NOVEL_MT_5,0.619394987821579,2021
NOVEL_MT_10,0.6139497458934784,2021
NOVEL_MT_11,0.6291366815567017,2021
NOVEL_MT_15,0.5604834854602814,2021
NOVEL_MT_16,0.5974823534488678,2021
NOVEL_MT_17,0.591094046831131,2021
NOVEL_MT_19,0.607629120349884,2021
NOVEL_MT_21,0.5613929629325867,2021
NOVEL_MT_23,0.6026014685630798,2021
NOVEL_MT_24,0.6301907598972321,2021
NOVEL_MT_25,0.6089888215065002,2021
NOVEL_MT_26,0.610288679599762,2021
NOVEL_MT_29,0.605207771062851,2021
NOVEL_MT_31,0.5859126448631287,2021
NOVEL_MT_35,0.605560690164566,2021
NOVEL_MT_37,0.6060007810592651,2021
NOVEL_MT_39,0.6179398596286774,2021
NOVEL_MT_40,0.6158711910247803,2021
NOVEL_MT_42,0.5952467322349548,2021
NOVEL_MT_45,0.6048207879066467,2021
NOVEL_MT_47,0.595390111207962,2021
NOVEL_MT_49,0.6077777147293091,2021
NOVEL_MT_52,0.6051401495933533,2021
NOVEL_MT_53,0.6049956381320953,2021
NOVEL_MT_54,0.6015168130397797,2021
NOVEL_MT_61,0.5915274024009705,2021
NOVEL_MT_62,0.6002900302410126,2021
NOVEL_MT_63,0.626317173242569,2021
NOVEL_MT_64,0.5868242979049683,2021
