paper_id,year,semantic_knn
SKG_SUM_7,2010,1.0
SKG_MT_1325,2010,1.0
SKG_MT_1231,2010,1.0
SKG_MT_1232,2010,1.0
SKG_MT_388,2010,1.0
SKG_MT_1313,2010,1.0
SKG_MT_1320,2010,1.0
SKG_MT_157,2010,1.0
SKG_MT_1199,2010,1.0
SKG_MT_61,2010,1.0
SKG_MT_1193,2010,1.0
SKG_MT_15,2010,1.0
SKG_MT_17,2010,1.0
SKG_MT_1375,2010,1.0
SKG_MT_1384,2010,1.0
SKG_MT_1394,2010,1.0
SKG_MT_646,2010,1.0
SKG_MT_174,2010,1.0
SKG_MT_194,2010,1.0
SKG_MT_196,2010,1.0
SKG_PAR_69,2010,1.0
SKG_MT_1151,2010,1.0
SKG_MT_1167,2010,1.0
SKG_PAR_87,2010,1.0
SKG_MT_287,2010,1.0
SKG_MT_1074,2010,1.0
SKG_QA_101,2010,1.0
SKG_PAR_202,2010,1.0
SKG_PAR_219,2010,1.0
SKG_MT_390,2010,1.0
SKG_MT_968,2010,1.0
SKG_QA_416,2010,1.0
SKG_SA_527,2010,1.0
SKG_MT_603,2010,1.0
SKG_MT_606,2010,1.0
SKG_SA_83,2010,1.0
SKG_DIA_210,2010,1.0
SKG_SA_217,2010,1.0
SKG_DIA_209,2010,1.0
SKG_MT_478,2010,1.0
SKG_MT_850,2010,1.0
SKG_MT_853,2010,1.0
SKG_MT_488,2010,1.0
SKG_MT_838,2010,1.0
SKG_MT_795,2010,1.0
SKG_DIA_104,2010,1.0
SKG_SA_420,2010,1.0
SKG_MT_547,2010,1.0
SKG_MT_771,2010,1.0
SKG_MT_567,2010,1.0
SKG_SA_544,2010,1.0
SKG_MT_585,2010,1.0
SKG_MT_743,2010,1.0
SKG_MT_715,2010,1.0
SKG_MT_660,2010,1.0
SKG_SUM_67,2010,1.0
SKG_SUM_42,2010,1.0
SKG_MT_137,2010,1.0
SKG_SUM_83,2010,1.0
SKG_SUM_45,2011,0.9024702906608582
SKG_PAR_94,2011,0.9246967434883118
SKG_SUM_80,2011,0.9196548461914062
SKG_SA_505,2011,0.919154167175293
SKG_MT_620,2011,0.9220903515815735
SKG_MT_1399,2011,0.9141175150871277
SKG_MT_565,2011,0.9278997182846069
SKG_MT_87,2011,0.9376263618469238
SKG_SA_423,2011,0.9030024409294128
SKG_MT_789,2011,0.9372465014457703
SKG_MT_1220,2011,0.9335318803787231
SKG_PAR_34,2011,0.8918631672859192
SKG_MT_1330,2011,0.906308650970459
SKG_MT_557,2011,0.9079810380935669
SKG_MT_820,2011,0.9412185549736023
SKG_PAR_215,2011,0.9362363815307617
SKG_QA_336,2011,0.9182705879211426
SKG_MT_308,2011,0.9181753396987915
SKG_MT_300,2011,0.9275732040405273
SKG_MT_117,2011,0.9307611584663391
SKG_SA_351,2011,0.9250504374504089
SKG_MT_800,2011,0.9198770523071289
SKG_QA_5,2011,0.9236072301864624
SKG_QA_240,2011,0.9012225270271301
SKG_MT_1277,2011,0.9274735450744629
SKG_QA_302,2011,0.9208141565322876
SKG_MT_1024,2011,0.9238992929458618
SKG_MT_144,2011,0.9288506507873535
SKG_MT_813,2011,0.9405171275138855
SKG_SA_343,2011,0.9128748774528503
SKG_SA_567,2011,0.9218093752861023
SKG_MT_368,2011,0.9286657571792603
SKG_MT_697,2011,0.9403055310249329
SKG_MT_595,2011,0.9287808537483215
SKG_MT_964,2011,0.9301103353500366
SKG_MT_966,2011,0.9168070554733276
SKG_MT_962,2011,0.9182705879211426
SKG_DIA_288,2011,0.9205220937728882
SKG_MT_496,2011,0.9401029348373413
SKG_DIA_213,2011,0.9085872769355774
SKG_MT_881,2011,0.9359641075134277
SKG_SA_77,2011,0.9285494089126587
SKG_MT_1306,2011,0.9360068440437317
SKG_MT_58,2011,0.9207254648208618
SKG_MT_280,2011,0.9221900701522827
SKG_MT_286,2011,0.9354450106620789
SKG_MT_919,2011,0.9286754727363586
SKG_MT_440,2011,0.9285810589790344
SKG_MT_1111,2011,0.8417946696281433
SKG_MT_1129,2011,0.9168070554733276
SKG_SA_181,2011,0.8732401132583618
SKG_DIA_253,2011,0.8462539911270142
SKG_DIA_233,2011,0.8982076644897461
SKG_SA_192,2011,0.9257241487503052
SKG_MT_409,2011,0.9176656603813171
SKG_MT_1227,2011,0.8963738679885864
SKG_QA_392,2011,0.9164015650749207
SKG_PAR_14,2011,0.918910801410675
SKG_MT_1132,2011,0.8417946696281433
SKG_PAR_89,2011,0.9220903515815735
SKG_MT_1003,2011,0.9326593279838562
SKG_MT_712,2011,0.9355198740959167
SKG_SUM_130,2011,0.9118784070014954
SKG_SUM_110,2011,0.9012225270271301
SKG_QA_219,2012,0.7752319574356079
SKG_QA_203,2012,0.9189556837081909
SKG_MT_1421,2012,0.9361969828605652
SKG_MT_7,2012,0.953448474407196
SKG_MT_832,2012,0.9353345632553101
SKG_MT_835,2012,0.921446681022644
SKG_MT_93,2012,0.942705512046814
SKG_SA_268,2012,0.9330838322639465
SKG_PAR_200,2012,0.9095250964164734
SKG_MT_535,2012,0.9369350671768188
SKG_PAR_3,2012,0.9117158651351929
SKG_SA_565,2012,0.929702877998352
SKG_MT_1327,2012,0.9350900650024414
SKG_MT_1276,2012,0.9472179412841797
SKG_MT_346,2012,0.9375354647636414
SKG_MT_1165,2012,0.9422852396965027
SKG_MT_1395,2012,0.9384799003601074
SKG_MT_1400,2012,0.9392881393432617
SKG_MT_613,2012,0.9293379783630371
SKG_MT_622,2012,0.9146377444267273
SKG_MT_576,2012,0.9128580093383789
SKG_SA_554,2012,0.9202829599380493
SKG_MT_1177,2012,0.9434460401535034
SKG_MT_1425,2012,0.9386528730392456
SKG_MT_550,2012,0.6738218665122986
SKG_MT_85,2012,0.9423294067382812
SKG_MT_92,2012,0.9361969232559204
SKG_MT_89,2012,0.9286999702453613
SKG_MT_1175,2012,0.7752319574356079
SKG_MT_788,2012,0.9280381202697754
SKG_MT_1376,2012,0.9455555081367493
SKG_MT_1473,2012,0.9451781511306763
SKG_SA_24,2012,0.9149532318115234
SKG_MT_1361,2012,0.9381465911865234
SKG_MT_1236,2012,0.8731606602668762
SKG_MT_1228,2012,0.9472179412841797
SKG_SA_148,2012,0.9184222221374512
SKG_MT_78,2012,0.9361066818237305
SKG_MT_74,2012,0.9288231134414673
SKG_MT_451,2012,0.9247159957885742
SKG_MT_239,2012,0.9372633695602417
SKG_MT_234,2012,0.9317083358764648
SKG_MT_373,2012,0.9190605282783508
SKG_MT_389,2012,0.806627094745636
SKG_MT_259,2012,0.9322477579116821
SKG_MT_480,2012,0.9156676530838013
SKG_MT_865,2012,0.9350345730781555
SKG_DIA_182,2012,0.9246038198471069
